$ lang-stats --by-lines StefVuck
23 languages tracked  ·  101.3K lines total
----------------------------------------------
TypeScript  ████████████████████████   39.6K
Python      ██████████████████░░░░░░   23.1K
Swift       ██████████████░░░░░░░░░░   13.2K
Lua         ████████░░░░░░░░░░░░░░░░    4.3K
Elixir      ███████░░░░░░░░░░░░░░░░░    3.6K
Go          ███████░░░░░░░░░░░░░░░░░    3.3K
Nix         ██████░░░░░░░░░░░░░░░░░░    2.7K
Cuda        ██████░░░░░░░░░░░░░░░░░░    2.5K
C++         █████░░░░░░░░░░░░░░░░░░░    1.9K
Shell       █████░░░░░░░░░░░░░░░░░░░    1.6K
Zig         █████░░░░░░░░░░░░░░░░░░░    1.5K
Haskell     ████░░░░░░░░░░░░░░░░░░░░     988
C           ███░░░░░░░░░░░░░░░░░░░░░     683
Rust        ███░░░░░░░░░░░░░░░░░░░░░     548
COBOL       ██░░░░░░░░░░░░░░░░░░░░░░     367
Arduino     ██░░░░░░░░░░░░░░░░░░░░░░     299
Assembly    ██░░░░░░░░░░░░░░░░░░░░░░     287
PowerShell  ██░░░░░░░░░░░░░░░░░░░░░░     287
SQL         ██░░░░░░░░░░░░░░░░░░░░░░     275
Dockerfile  ██░░░░░░░░░░░░░░░░░░░░░░     171
CMake       █░░░░░░░░░░░░░░░░░░░░░░░      81
Makefile    █░░░░░░░░░░░░░░░░░░░░░░░      45
Svelte      █░░░░░░░░░░░░░░░░░░░░░░░      31
